"Title","Year","DOI","Link","ISSN","ISBN","CODEN"
"6G IoV Networks Driven by RF Digital Twin Modeling","2024","10.1109/TITS.2023.3292533","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167795331&doi=10.1109%2fTITS.2023.3292533&partnerID=40&md5=10c42fb2353e09761fe51f34bbf8edb0","15249050","",""
"Quality of AI Service Assurance in 6G Native Artificial Intelligence Networks","2024","10.1109/SDPC62810.2024.10707758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208139816&doi=10.1109%2fSDPC62810.2024.10707758&partnerID=40&md5=561249d446c97f48b286e5c2f727ad40","","979-835038885-5",""
"Optimal Resource Allocation for AGIN 6G: A Learning-Based Three-Sided Matching Approach","2024","10.1109/TNSE.2023.3325356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174842133&doi=10.1109%2fTNSE.2023.3325356&partnerID=40&md5=912c660395fa3c40b08f45e3b20ea34f","23274697","",""
"Advanced channel coding schemes for B5G/6G networks: State-of-the-art analysis, research challenges and future directions","2024","10.1002/dac.5855","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194755203&doi=10.1002%2fdac.5855&partnerID=40&md5=2764817aa11671bea50bdae87e4a3e3a","10745351","","IJCYE"
"Intent-based AI system in packet-optical networks towards 6G [Invited]","2024","10.1364/JOCN.514890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190094875&doi=10.1364%2fJOCN.514890&partnerID=40&md5=b8bc8fabbc0b611171ba8c28c1ffadcd","19430620","",""
"Towards 6G Technology: Insights into Resource Management for Cloud RAN Deployment","2024","10.3390/iot5020020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197104602&doi=10.3390%2fiot5020020&partnerID=40&md5=006a2501c5833bd696589111ef0fbe7b","2624831X","",""
"Performance Evaluation of ML-Based Classifiers for IRS-Aided NOMA-Based 6G Cognitive Radio Networks","2024","10.1007/s11277-024-11726-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213322250&doi=10.1007%2fs11277-024-11726-8&partnerID=40&md5=7d0d271921ba341a42e89ee631417b90","09296212","","WPCOF"
"Deep Learning Based Advanced Estimation of Wireless Channels State Information for 6G Communication","2024","10.1109/RAEEUCCI61380.2024.10547841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196740922&doi=10.1109%2fRAEEUCCI61380.2024.10547841&partnerID=40&md5=68cb53f3ce0329977d278242f0663c2b","","979-835035453-9",""
"DRL-based customised resource allocation for sub-slices in 6G network slicing","2024","10.1002/ett.5016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197303402&doi=10.1002%2fett.5016&partnerID=40&md5=e90fd80b2d19ec1474838a104b090dcf","21613915","",""
"Multiagent deep reinforcement learning based Energy efficient resource management scheme for RIS assisted D2D users in 6G-aided smart cities environment","2025","10.1016/j.aej.2024.12.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214303826&doi=10.1016%2fj.aej.2024.12.004&partnerID=40&md5=b6727a5fb9cff54eb60cbc0aa5d9f496","11100168","",""
