Title,Year,DOI,Link,ISSN,ISBN,CODEN
6G IoV Networks Driven by RF Digital Twin Modeling,2024,10.1109/TITS.2023.3292533,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167795331&doi=10.1109%2fTITS.2023.3292533&partnerID=40&md5=10c42fb2353e09761fe51f34bbf8edb0,15249050,,
Intent-based AI system in packet-optical networks towards 6G [Invited],2024,10.1364/JOCN.514890,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190094875&doi=10.1364%2fJOCN.514890&partnerID=40&md5=b8bc8fabbc0b611171ba8c28c1ffadcd,19430620,,
Multiagent deep reinforcement learning based Energy efficient resource management scheme for RIS assisted D2D users in 6G-aided smart cities environment,2025,10.1016/j.aej.2024.12.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214303826&doi=10.1016%2fj.aej.2024.12.004&partnerID=40&md5=b6727a5fb9cff54eb60cbc0aa5d9f496,11100168,,
Explainable and Robust Artificial Intelligence for Trustworthy Resource Management in 6G Networks,2024,10.1109/MCOM.001.2300172,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176335424&doi=10.1109%2fMCOM.001.2300172&partnerID=40&md5=29973ff8740959fee16f804eacf1dc42,01636804,,ICOMD
Blockchain-Based Secure 5G/6G Communication for Internet of Things Devices in Consumer Electronic Systems,2024,10.1109/TCE.2024.3454299,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205144737&doi=10.1109%2fTCE.2024.3454299&partnerID=40&md5=3bb805fb4081e0ba817650a6a7fede50,00983063,,ITCED
Joint Optimization Algorithm of Training Delay and Energy Efficiency for Wireless Large-Scale Distributed Machine Learning Combined With Blockchain for 6G Networks,2024,10.1109/JIOT.2024.3418463,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197078588&doi=10.1109%2fJIOT.2024.3418463&partnerID=40&md5=31a636d38317816bb1a7f0cf044bb606,23274662,,
How to Allocate Resources in Cloud-Native Networks Towards 6G,2024,10.1109/MNET002.2300017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159848247&doi=10.1109%2fMNET002.2300017&partnerID=40&md5=e0c3ae5732936065d370f2380dcb43aa,08908044,,IENEE
Dynamic Activation Digital Predistortion of RF Power Amplifiers for 6G Dynamic Spectrum Aggregation Applications,2024,10.1109/TMTT.2023.3318732,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174844840&doi=10.1109%2fTMTT.2023.3318732&partnerID=40&md5=1b919dbb4504b87536824ea12280ae57,00189480,,IETMA
Task Offloading Optimization in Digital Twin Assisted MEC-Enabled Air-Ground IIoT 6G Networks,2024,10.1109/TVT.2024.3420876,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197510892&doi=10.1109%2fTVT.2024.3420876&partnerID=40&md5=deec145919d89f1040ec8bdac2950ade,00189545,,ITVTA
RL-Based Adaptive UAV Swarm Formation and Clustering for Secure 6G Wireless Communications in Dynamic Dense Environments,2024,10.1109/ACCESS.2024.3455250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203558481&doi=10.1109%2fACCESS.2024.3455250&partnerID=40&md5=f311e6cc5384cc280283e8536b62eee6,21693536,,
Intent-Driven Closed-Loop Control and Management Framework for 6G Open RAN,2024,10.1109/JIOT.2023.3312795,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171592629&doi=10.1109%2fJIOT.2023.3312795&partnerID=40&md5=6e6bc2e476892da6bf4f0301929a3aa9,23274662,,
Multiagent Deep Deterministic Policy Gradient-Based Computation Offloading and Resource Allocation for ISAC-Aided 6G V2X Networks,2024,10.1109/JIOT.2024.3432728,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199513630&doi=10.1109%2fJIOT.2024.3432728&partnerID=40&md5=2fae06adc4749179622ed4195cee9ccb,23274662,,
DRL-Based Resource Allocation and Trajectory Planning for NOMA-Enabled Multi-UAV Collaborative Caching 6G Network,2024,10.1109/TVT.2024.3357086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183993740&doi=10.1109%2fTVT.2024.3357086&partnerID=40&md5=6c251da7aaa8ef9556f28f7b953bac95,00189545,,ITVTA
Edge Computation Offloading With Content Caching in 6G-Enabled IoV,2024,10.1109/TITS.2023.3239599,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148445603&doi=10.1109%2fTITS.2023.3239599&partnerID=40&md5=8cb11521086cf83e2d6c3decf427203b,15249050,,
